Date,Principal,Fee,Total,Filename
2025-06-12T09:15:00.000,5000.00,125.00,5125.00,receipt_001.pdf
2025-05-08T14:22:33.100,12000.00,300.00,12300.00,receipt_002.pdf
2025-04-19T11:45:12.500,750.50,18.76,769.26,receipt_003.pdf
2025-03-01T16:00:00.000,25000.00,625.00,25625.00,receipt_004.pdf
2025-02-14T08:30:45.200,3200.00,80.00,3280.00,receipt_005.pdf
2025-01-20T13:10:22.800,8900.25,222.51,9122.76,receipt_006.pdf
2024-12-05T10:05:00.000,15000.00,375.00,15375.00,receipt_007.pdf
2024-11-11T17:55:11.400,4200.75,105.02,4305.77,receipt_008.pdf
2024-10-03T12:00:00.000,18000.00,450.00,18450.00,receipt_009.pdf
2024-09-15T09:40:33.600,6100.00,152.50,6252.50,receipt_010.pdf
